Algorithmen und Datenstrukturen,ALG,180,6,3,1
Arbeitstechniken 1,AT1,60,2,1,1
Arbeitstechniken 2,AT2,60,2,2,1
Bachelorarbeit,BA,360,12,6,1
Betriebssysteme,BSY,210,7,2,1
Betriebswirtschaft,BWL,180,6,5,1
Datenbanken und Informationssysteme,DBI,180,6,3,1
Digital- und Computertechnik,DCT,210,7,1,1
Fortgeschrittene Programmierung,FPR,180,6,3,1
Grundlagen der Informatik und Programmierung 1,GIP1,210,7,1,1
Grundlagen der Informatik und Programmierung 2,GIP2,210,7,2,1
IT-Sicherheit,ITS,180,6,5,1
Mathematik 1,MAT1,210,7,1,1
Mathematik 2,MAT2,210,7,2,1
Netze,NET,180,6,4,1
Physik und Modellbildung,PHYM,210,7,2,1
Praxisphase,PRX,450,15,6,1
Softwaretechnik,SWT,180,6,3,1
Students' Lab (IS),SLAB,210,7,1,1
Technisches Englisch,TE,180,6,3,1
Technisches Spanisch,TS,420,69,1,1
Students' Lab (IS),SLAB,210,7,1,1
